cell_id,family,chemistry,protocol,cycle_index,elapsed_days,capacity_ahr,initial_capacity_ahr,soh_pct
CS2_33,CS2,LCO,Type1_0.5C,1,0.0,1.161693,1.159326,100.2041
CS2_33,CS2,LCO,Type1_0.5C,2,1.0322,1.16042,1.159326,100.0944
CS2_33,CS2,LCO,Type1_0.5C,3,1.8853,1.159326,1.159326,100.0
CS2_33,CS2,LCO,Type1_0.5C,4,3.0257,1.158123,1.159326,99.8963
CS2_33,CS2,LCO,Type1_0.5C,5,3.2222,1.157788,1.159326,99.8673
CS2_33,CS2,LCO,Type1_0.5C,6,3.4178,1.156071,1.159326,99.7193
CS2_33,CS2,LCO,Type1_0.5C,7,3.6126,1.150777,1.159326,99.2626
CS2_33,CS2,LCO,Type1_0.5C,8,3.8077,1.148767,1.159326,99.0892
CS2_33,CS2,LCO,Type1_0.5C,9,4.0024,1.146616,1.159326,98.9037
CS2_33,CS2,LCO,Type1_0.5C,10,4.1966,1.147544,1.159326,98.9837
CS2_33,CS2,LCO,Type1_0.5C,11,4.3907,1.147624,1.159326,98.9906
CS2_33,CS2,LCO,Type1_0.5C,12,4.584,1.147042,1.159326,98.9404
CS2_33,CS2,LCO,Type1_0.5C,13,4.7769,1.146179,1.159326,98.866
CS2_33,CS2,LCO,Type1_0.5C,14,4.9697,1.145387,1.159326,98.7977
CS2_33,CS2,LCO,Type1_0.5C,15,5.162,1.144605,1.159326,98.7302
CS2_33,CS2,LCO,Type1_0.5C,16,5.3542,1.143819,1.159326,98.6624
CS2_33,CS2,LCO,Type1_0.5C,17,5.5462,1.14287,1.159326,98.5806
CS2_33,CS2,LCO,Type1_0.5C,18,5.738,1.142121,1.159326,98.516
CS2_33,CS2,LCO,Type1_0.5C,19,5.9296,1.141365,1.159326,98.4508
CS2_33,CS2,LCO,Type1_0.5C,20,6.121,1.14056,1.159326,98.3813
CS2_33,CS2,LCO,Type1_0.5C,21,6.3122,1.139861,1.159326,98.321
CS2_33,CS2,LCO,Type1_0.5C,22,6.5033,1.136531,1.159326,98.0338
CS2_33,CS2,LCO,Type1_0.5C,23,6.6937,1.132884,1.159326,97.7192
CS2_33,CS2,LCO,Type1_0.5C,24,6.8852,1.131295,1.159326,97.5822
CS2_33,CS2,LCO,Type1_0.5C,25,7.0765,1.129931,1.159326,97.4645
CS2_33,CS2,LCO,Type1_0.5C,26,7.2677,1.020341,1.159326,88.0116
CS2_33,CS2,LCO,Type1_0.5C,27,7.4263,1.132791,1.159326,97.7112
CS2_33,CS2,LCO,Type1_0.5C,28,7.6169,1.010928,1.159326,87.1997
CS2_33,CS2,LCO,Type1_0.5C,29,7.7743,1.127209,1.159326,97.2297
CS2_33,CS2,LCO,Type1_0.5C,30,7.9652,1.125873,1.159326,97.1145
CS2_33,CS2,LCO,Type1_0.5C,31,8.156,1.126936,1.159326,97.2062
CS2_33,CS2,LCO,Type1_0.5C,32,8.3468,1.128807,1.159326,97.3675
CS2_33,CS2,LCO,Type1_0.5C,33,8.5369,1.124415,1.159326,96.9887
CS2_33,CS2,LCO,Type1_0.5C,34,8.7271,1.123033,1.159326,96.8695
CS2_33,CS2,LCO,Type1_0.5C,35,8.9174,1.122272,1.159326,96.8039
CS2_33,CS2,LCO,Type1_0.5C,36,9.1076,1.121825,1.159326,96.7653
CS2_33,CS2,LCO,Type1_0.5C,37,9.2978,1.124724,1.159326,97.0153
