cell_id,ambient_temp_c,cycle_index,elapsed_days,discharge_current_a,capacity_ahr,initial_capacity_ahr,soh_pct
B0005,24,1,0.0,1.9982,1.856487,1.835349,101.1517
B0005,24,2,0.1792,1.9982,1.846327,1.835349,100.5981
B0005,24,3,0.3579,1.9982,1.835349,1.835349,100.0
B0005,24,4,0.5354,1.9982,1.835263,1.835349,99.9953
B0005,24,5,0.7137,1.9982,1.834646,1.835349,99.9617
B0005,24,6,0.8955,1.9984,1.835662,1.835349,100.017
B0005,24,7,1.0775,1.9982,1.835146,1.835349,99.9889
B0005,24,8,1.2518,1.9982,1.825757,1.835349,99.4774
B0005,24,9,1.4254,1.9982,1.824774,1.835349,99.4238
B0005,24,10,1.5989,1.9982,1.824613,1.835349,99.415
B0005,24,11,1.772,1.9982,1.82462,1.835349,99.4154
B0005,24,12,2.1047,1.9982,1.814202,1.835349,98.8478
B0005,24,13,2.2752,1.9982,1.813752,1.835349,98.8233
B0005,24,14,2.4547,1.9982,1.81344,1.835349,98.8063
B0005,24,15,2.6245,1.9982,1.802598,1.835349,98.2155
B0005,24,16,2.795,1.9982,1.802107,1.835349,98.1888
B0005,24,17,2.9646,1.9982,1.80258,1.835349,98.2145
B0005,24,18,3.1345,1.9982,1.803068,1.835349,98.2412
B0005,24,19,3.3062,1.9982,1.802778,1.835349,98.2253
B0005,24,20,16.2393,1.9982,1.847026,1.835349,100.6362
B0005,24,21,16.4607,1.9982,1.847417,1.835349,100.6575
B0005,24,22,16.6816,1.9982,1.836177,1.835349,100.0451
B0005,24,23,16.9,1.9982,1.825781,1.835349,99.4787
B0005,24,24,17.1262,1.9982,1.825114,1.835349,99.4423
B0005,24,25,17.3446,1.9982,1.825582,1.835349,99.4678
B0005,24,26,17.5618,1.9982,1.814031,1.835349,98.8385
B0005,24,27,17.7853,1.9982,1.814769,1.835349,98.8787
B0005,24,28,18.0079,1.9982,1.813969,1.835349,98.8351
B0005,24,29,18.2257,1.9982,1.802766,1.835349,98.2247
B0005,24,30,18.4509,1.9982,1.804077,1.835349,98.2961
B0005,24,31,20.0056,1.9982,1.851803,1.835349,100.8965
B0005,24,32,20.2088,1.9982,1.830704,1.835349,99.7469
B0005,24,33,20.4115,1.9982,1.819904,1.835349,99.1585
B0005,24,34,20.6199,1.9982,1.809308,1.835349,98.5811
B0005,24,35,20.8211,1.9982,1.80461,1.835349,98.3252
B0005,24,36,21.0283,1.9982,1.799377,1.835349,98.04
B0005,24,37,21.2342,1.9982,1.788443,1.835349,97.4443
B0005,24,38,21.4346,1.9982,1.782923,1.835349,97.1435
B0005,24,39,21.6419,1.9982,1.773034,1.835349,96.6047
